,id,tokens,ner_tags
0,Demotermine12502886103064,"['Mittwoch', ',', '07.10.2020', '16:00', '-', '19:00', '2.', 'Wahlveranstaltung', 'Ort', ':', 'Stuttgart-Killesberg', '(', 'Killesbergbahn', ')', '*', 'UPDATE', 'Ich', 'freue', 'mich', 'dass', 'Ralf', 'Ludwig', 'Bodo', 'Schiffmann', 'und', 'Samuel', 'Eckert', 'am', 'meine', 'in', 'Stuttgart', 'unterstützen', 'Es', 'wird', 'auch', 'wieder', 'die', 'neue', 'MSN', 'von', 'solidfacts.org', 'sowie', 'Möglichkeit', 'zur', 'CO2-Messung', 'geben', '.', 'Mit', 'unseren', 'Demonstration', 'wirken', 'wir', 'außen', 'auf', 'das', 'bestehende', 'System', 'meiner', 'Kandidatur', 'als', 'Oberbürgermeister', 'für', 'möchte', 'ich', 'den', 'Versuch', 'unternehmen', 'innen', 'Veränderungen', 'zu', 'sorgen', 'Themen', 'Bürgerdialog', 'Corona-Informationen', 'inkl.', 'CO2-Teststation', 'Mund-Nase-Bedeckung,', 'durch', 'frei', 'geatmet', 'werden', 'kann', 'Wahlprogramm', '@QUERDENKEN_711', 'Diskussion', '&', 'Austausch', '@QUERDENKEN711', 'Bilder', 'Videos', 'Demos', 'aus', '711', '/', 'STUTTGART', 'hochladen', '@QUERDENKEN711_aktiv']","['B-DATE', 'I-DATE', 'I-DATE', 'B-TIME', 'I-TIME', 'I-TIME', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,Demotermine125028861045762020-12-17 11:25:47,"['Reutlingen', 'Marktplatz', 'Bitte', 'beachten', '‼️', 'Vom', 'Ordnungsamt', 'haben', 'wir', 'die', 'Auflage', 'erhalten', ',', 'wenn', 'keine', '1,50', 'dann', 'Maske', 'und', 'Maskenattest', 'ein', 'Visier', '.', 'Danke', '@ElternStehenAuf_BW', '@BadenWuerttembergInfoChat', '18122020', 'Bilder', 'Videos', 'hochladen', '@WiderstandAktiv', '-', 'Termine', 'in', 'Textform', '@Termine_Veranstaltungen', 'Fahren', 'oder', 'Mitfahren', '@Fahrgemeinschaft', 'Übernachten', '?', '@Unterkuenfte', '@Demotermine', '@DemotermineChat', '@Demoliebe']","['B-LOC', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,Demotermine1250288610109,"['Grüße', 'vom', 'Weihnachtsmarkt', 'in', '#Halle', '-', 'Montag', ',', '17.12.18', 'ab', '18', 'Uhr', 'Jahresabschluss-Montagsdemo']","['O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'B-ACTION']"
3,Demotermine1250288610245882021-11-01 16:10:36,"['Impfung', 'für', 'die', 'Politik', ':', 'Corona-Kritiker', 'bewerfen', 'britisches', 'Parlament', 'mit', 'Spritzen', '👉', '🏻', 'Neuer', 'Beitrag', '@RT_Deutsch']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,Demotermine125028861062472021-02-12 15:56:05,"['Übersicht', 'Freitag', ',', '12.2.2021', 'Terminkalender', 'https://t.me/Demotermine/6238', 'Mehr', 'Details', 'Abensberg', 'https://t.me/Demotermine/5897', 'Arnsberg', 'https://t.me/Demotermine/6210', 'Aurich', 'https://t.me/Demotermine/6099', 'Bad', 'Arolsen', 'https://t.me/Demotermine/5975', 'Mergentheim', 'https://t.me/Demotermine/5574', 'Bamberg', 'https://t.me/Demotermine/6097', 'Berlin', '🛣', 'https://t.me/Demotermine/6151', 'Darmstadt', 'https://t.me/Demotermine/6123', 'Filderstadt', 'https://t.me/Demotermine/6244', 'Graz', 'https://t.me/Demotermine/5955', 'Kassel', '🚲', 'https://t.me/Demotermine/6192', 'https://t.me/Demotermine/6148', 'Schorndorf', '🕺', 'https://t.me/Demotermine/6227', 'Schwäbisch', 'Gmünd', 'https://t.me/Demotermine/5631', 'Söllingen', 'https://t.me/Demotermine/6187', 'Todtmoos', 'https://t.me/Demotermine/6222', 'Villingen-Schwenningen', 'https://t.me/Demotermine/6088', 'Würzburg', 'https://t.me/Demotermine/6050', 'Corona', 'Reset', 'Virus-Krankenwagen', 'https://t.me/Corona_Reset/841', 'Demoship', 'https://t.me/Demotermine', '/', 'Termin', 'finden', 'https://t.me/Demotermine/1153', 'mitteilen', '@Terminverteiler_Bot', 'Raus', 'auf', 'die', 'Straße', '@Demotermine', 'Link', 'für', 'Menschen', 'ohne', 'Telegram', 'Facebook', 'Twitter', 'XING', 'LinkedIn', 'WhatsApp', 'SMS', 'Email', 'etc.', 'zum', 'Posten', 'und', 'Kommentieren', 'https://t.me/s/Demotermine']","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'I-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-ACTION', 'I-ACTION', 'O', 'O', 'B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'B-ORG', 'B-ORG', 'B-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,Demotermine125028861094902021-04-26 02:59:51,"['Stein', 'am', 'Rhein', '(', 'CH', ')', '25.4.2021', '@SchweizChat', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['B-LOC', 'I-LOC', 'I-LOC', 'O', 'B-LOC', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O']"
6,Demotermine12502886102301,"['Wir', 'wollen', 'an', 'diesem', 'Tag', ',', '„', 'Demokratie', 'leben', '!', '“', 'und', 'aufzeigen', 'warum', 'wir', 'der', 'Meinung', 'sind', 'dass', 'unsere', 'Freiheit', 'in', 'Gefahr', 'ist', '.', 'In', 'aktuellen', 'Krise', 'werden', 'unserer', 'nach', 'NICHT', 'ALLE', 'Experten', 'gehört', 'bekennen', 'uns', 'ganz', 'klar', 'zum', 'Außerparlamentarischen', 'Corona-Untersuchungsausschuss“.', 'debattieren', 'austauschen', 'wie', 'weit', 'die', 'Grundrechte', 'bzw.', 'demokratische', 'Grundordnung', 'noch', 'besteht', 'was', 'das', 'aktuell', 'für', 'Gesellschaft', 'bedeutet', 'sprechen', 'eine', 'Re-Politisierung', 'aus', 'Ideen', '&', 'Visionen', 'arbeiten', 'ein', 'friedliches', 'Miteinander', 'fördert', 'denn', 'nur', 'so', 'kann', 'Debattenraum', 'entstehen', 'wo', 'Menschen', 'sich', 'auf', 'Augenhöhe', 'begegnen', '-', 'Samstag', '08.08.20', 'Günther-Klotz', 'Anlage', '|', 'Karlsruhe', '12:30', '18:00', 'Uhr', 'Verschiedene', 'Rede-', 'Musikbeiträge', 'Meditation']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'B-TIME', 'I-TIME', 'O', 'O', 'O', 'O', 'O']"
7,Demotermine1250288610212822021-10-13 22:05:03,"['‼️INFO-BUS-TOUR', '""', 'Landtag', 'abberufen', '‼️', 'Während', 'der', 'Eintragungszeit', 'wird', 'ein', 'Tourbus', 'in', 'verschiedenen', 'Städten', 'Bayerns', 'halt', 'machen', '.', 'Gäste', ':', 'Ralf', 'Ludwig', 'Wolfgang', 'Greulich', 'Dirk', 'Sattelmaier', 'Euer', 'Team', 'Bündnis', 'Volksbegehren-Landtag-abberufen.de', 'Übersicht', 'https://t.me/Demotermine/13703', 'Mehr', '@Veranstaltungen']","['B-ACTION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
8,Demotermine1250288610193832021-09-26 17:29:58,"['Bundestagswahl', '2021', ':', 'Kopf-an-Kopf-Rennen', 'zwischen', 'CDU', 'und', 'SPD', '–', 'Linke', 'bei', '5', 'Prozent-Hürde', '—', 'Epoch', 'Times', 'Nachrichten', 'https://youtu.be/FnprDBVVY84', '1:26', 'Raus', 'auf', 'die', 'Straßen', '@Demotermine']","['O', 'B-DATE', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,Demotermine125028861079552021-03-22 11:40:37,"['Hamburg', 'Autokorso', 'Treffpunkt', 'Am', 'Redeland', 'Richtung', 'Bostelbeker', 'Damm', '@FreiheitsfahrerHamburg', '@HamburgInfoChat', '27032021', 'Raus', 'auf', 'die', 'Straße', '@Demotermine!']","['B-LOC', 'B-ACTION', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O']"
