,Unnamed: 0.1,Unnamed: 0,id,message_id,date,cleaned_text,lang,text_length,text_EN,text_DE,detected_entities
0,1559,12152,Demotermine1250288610116632021-06-17 16:07:39,11663,2021-06-16 22:29:14,Freiburg Aufzug mit Endkundgebung am Platz der alten Synagoge . Live Musik ! Details 19062021 Raus auf die Straße,de,113,Freiburg procession with final rally at the square of the old synagogue . Live music ! Details 19062021 Out on the street,Freiburger Prozession mit Abschlusskundgebung auf dem Platz der alten Synagoge. Live Musik ! Details 19062021 Draußen auf der Straße,"[{'entity': 'B-LOC', 'score': 0.9835653, 'index': 1, 'word': 'Freiburg', 'start': 0, 'end': 8}]"
1,1501,656,Demotermine125028861014532020-06-12 17:17:36,1453,2020-06-12 17:17:35,"GEHT DEMONSTRIEREN ! - Message von Elijah Tee an die Dresdner & anderen Demonstranten in Deutschland Morgen am 13.06. um 16.30 Uhr und bundesweit überall , wo es Mitdenker gibt . - Bilder und Videos hochladen - Diskussion Fahren oder Mitfahren",de,243,"GO DEMONSTRATE ! - Message from Elijah Tee to the Dresdeners & other demonstrators in Germany Tomorrow on 13.06. at 16.30 clock and nationwide everywhere , where there are fellow thinkers . - Upload pictures and videos - discussion drive or ride along","GEHT DEMONSTRIEREN ! - Botschaft von Elijah Tee an die Dresdner & andere Demonstranten in Deutschland Morgen am 13.06. um 16.30 Uhr und bundesweit überall, wo es Mitdenker gibt. - Bilder und Videos hochladen - Diskussion fahren oder mitfahren","[{'entity': 'B-PER', 'score': 0.92565143, 'index': 13, 'word': 'El', 'start': 35, 'end': 37}, {'entity': 'B-PER', 'score': 0.68348974, 'index': 14, 'word': '##ij', 'start': 37, 'end': 39}, {'entity': 'I-PER', 'score': 0.78352666, 'index': 15, 'word': '##ah', 'start': 39, 'end': 41}, {'entity': 'I-PER', 'score': 0.89471817, 'index': 16, 'word': 'Tee', 'start': 42, 'end': 45}, {'entity': 'B-LOC', 'score': 0.87950104, 'index': 19, 'word': 'Dresdner', 'start': 53, 'end': 61}, {'entity': 'B-LOC', 'score': 0.98077184, 'index': 24, 'word': 'Deutschland', 'start': 89, 'end': 100}, {'entity': 'B-DATE', 'score': 0.94926924, 'index': 27, 'word': '13', 'start': 111, 'end': 113}, {'entity': 'I-DATE', 'score': 0.9820857, 'index': 28, 'word': '.', 'start': 113, 'end': 114}, {'entity': 'I-DATE', 'score': 0.97988325, 'index': 29, 'word': '06', 'start': 114, 'end': 116}, {'entity': 'I-DATE', 'score': 0.9071509, 'index': 30, 'word': '.', 'start': 116, 'end': 117}, {'entity': 'B-TIME', 'score': 0.95949835, 'index': 32, 'word': '16', 'start': 121, 'end': 123}, {'entity': 'I-TIME', 'score': 0.8383876, 'index': 33, 'word': '.', 'start': 123, 'end': 124}, {'entity': 'I-TIME', 'score': 0.8810597, 'index': 34, 'word': '30', 'start': 124, 'end': 126}, {'entity': 'I-TIME', 'score': 0.93176186, 'index': 35, 'word': 'Uhr', 'start': 127, 'end': 130}]"
2,352,15563,Demotermine125028861072652021-03-07 21:26:52,7265,2021-03-07 21:26:09,15831 Blankenfelde Mahlow Berliner Speckgürtel Ausfahrt Lichtenrade am 14.03.2021 14032021 Raus auf die Straße,de,110,15831 Blankenfelde Mahlow Berlin Speckgürtel Lichtenrade exit on 03/14/2021 14032021 Out on the road,15831 Blankenfelde Mahlow Berlin Speckgürtel Lichtenrade exit on 03/14/2021 14032021 Out on the road,"[{'entity': 'B-LOC', 'score': 0.9539969, 'index': 1, 'word': '15', 'start': 0, 'end': 2}, {'entity': 'B-LOC', 'score': 0.63789266, 'index': 2, 'word': '##83', 'start': 2, 'end': 4}, {'entity': 'B-LOC', 'score': 0.99093235, 'index': 4, 'word': 'Blan', 'start': 6, 'end': 10}, {'entity': 'B-LOC', 'score': 0.6948824, 'index': 5, 'word': '##ken', 'start': 10, 'end': 13}, {'entity': 'I-LOC', 'score': 0.59074116, 'index': 6, 'word': '##felde', 'start': 13, 'end': 18}, {'entity': 'B-LOC', 'score': 0.978272, 'index': 7, 'word': 'Mahl', 'start': 19, 'end': 23}, {'entity': 'B-LOC', 'score': 0.52821285, 'index': 8, 'word': '##ow', 'start': 23, 'end': 25}, {'entity': 'B-LOC', 'score': 0.9605621, 'index': 9, 'word': 'Berliner', 'start': 26, 'end': 34}, {'entity': 'I-LOC', 'score': 0.98449564, 'index': 10, 'word': 'Spe', 'start': 35, 'end': 38}, {'entity': 'I-LOC', 'score': 0.98497874, 'index': 11, 'word': '##ck', 'start': 38, 'end': 40}, {'entity': 'I-LOC', 'score': 0.98294073, 'index': 12, 'word': '##g', 'start': 40, 'end': 41}, {'entity': 'I-LOC', 'score': 0.9716162, 'index': 13, 'word': '##ürtel', 'start': 41, 'end': 46}, {'entity': 'B-LOC', 'score': 0.90349996, 'index': 14, 'word': 'Ausfahrt', 'start': 47, 'end': 55}, {'entity': 'B-LOC', 'score': 0.79359156, 'index': 15, 'word': 'Lichten', 'start': 56, 'end': 63}, {'entity': 'I-LOC', 'score': 0.8684421, 'index': 16, 'word': '##rade', 'start': 63, 'end': 67}, {'entity': 'B-DATE', 'score': 0.9637077, 'index': 18, 'word': '14', 'start': 71, 'end': 73}, {'entity': 'I-DATE', 'score': 0.97684175, 'index': 19, 'word': '.', 'start': 73, 'end': 74}, {'entity': 'I-DATE', 'score': 0.9763168, 'index': 20, 'word': '03', 'start': 74, 'end': 76}, {'entity': 'I-DATE', 'score': 0.90810275, 'index': 21, 'word': '.', 'start': 76, 'end': 77}, {'entity': 'I-DATE', 'score': 0.77890056, 'index': 22, 'word': '2021', 'start': 77, 'end': 81}]"
3,1647,5938,Demotermine1250288610209862021-10-11 05:59:15,20986,2021-10-11 06:00:13,2021 10 11 Sven Liebich fragt Ministerpräsident Haseloff nach dessen Verständnis von Versammlungsfre — Sven Liebich 0:23 Raus auf die Straßen   Übersicht / Overview,de,165,2021 10 11 Sven Liebich asks Prime Minister Haseloff about his understanding of assembly free - Sven Liebich 0:23 Raus auf die Straßen Overview / Overview,2021 10 11 Sven Liebich asks Prime Minister Haseloff about his understanding of assembly free - Sven Liebich 0:23 Raus auf die Straßen Overview / Overview,"[{'entity': 'B-DATE', 'score': 0.8678519, 'index': 1, 'word': '2021', 'start': 0, 'end': 4}, {'entity': 'I-DATE', 'score': 0.78250617, 'index': 2, 'word': '10', 'start': 5, 'end': 7}, {'entity': 'I-DATE', 'score': 0.7430798, 'index': 3, 'word': '11', 'start': 8, 'end': 10}, {'entity': 'B-PER', 'score': 0.9706518, 'index': 4, 'word': 'Sven', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.98128927, 'index': 5, 'word': 'Lieb', 'start': 16, 'end': 20}, {'entity': 'I-PER', 'score': 0.96697146, 'index': 6, 'word': '##ich', 'start': 20, 'end': 23}, {'entity': 'B-PER', 'score': 0.9480429, 'index': 10, 'word': 'Hasel', 'start': 48, 'end': 53}, {'entity': 'I-PER', 'score': 0.9339636, 'index': 11, 'word': '##off', 'start': 53, 'end': 56}, {'entity': 'B-PER', 'score': 0.97041774, 'index': 20, 'word': 'Sven', 'start': 103, 'end': 107}, {'entity': 'I-PER', 'score': 0.9812228, 'index': 21, 'word': 'Lieb', 'start': 108, 'end': 112}, {'entity': 'I-PER', 'score': 0.9716654, 'index': 22, 'word': '##ich', 'start': 112, 'end': 115}, {'entity': 'B-TIME', 'score': 0.6636114, 'index': 23, 'word': '0', 'start': 116, 'end': 117}]"
4,1463,10879,Demotermine125028861013401,13401,2021-08-01 12:13:19,  FÜR ALLE DEMOKRATEN   GEFAHR : Die Polizei blockiert den Stern !   Deswegen laufen die Menschen vom Ernst-Reuther-Platz nach Südosten zum Breitscheitplatz und dort weiter auf den Kudamm ! ! Schließt euch an : Neue Kantstraße direkt Richtung Osten auf den Breitscheitplatz ! Von der Straße des 17. Juni Richtung Süden zum Kudamm !,de,332,  FOR ALL DEMOCRATS DANGER : The police blocks the Stern !   That's why people run from Ernst-Reuther-Platz to the southeast to Breitscheitplatz and there further to Kudamm ! ! Join : Neue Kantstraße directly to the east to Breitscheitplatz ! From the Straße des 17. Juni southwards to the Kudamm !,  FÜR ALLE DEMOKRATEN GEFAHR : Die Polizei blockiert den Stern !   Deshalb rennen die Leute vom Ernst-Reuther-Platz nach Südosten zum Breitscheitplatz und dort weiter zum Kudamm ! ! Join : Neue Kantstraße direkt nach Osten zum Breitscheitplatz ! Von der Straße des 17. Juni südwärts zum Kudamm !,"[{'entity': 'B-LOC', 'score': 0.9899967, 'index': 26, 'word': 'Ernst', 'start': 103, 'end': 108}, {'entity': 'I-LOC', 'score': 0.99429494, 'index': 27, 'word': '-', 'start': 108, 'end': 109}, {'entity': 'I-LOC', 'score': 0.9948709, 'index': 28, 'word': 'Reut', 'start': 109, 'end': 113}, {'entity': 'I-LOC', 'score': 0.9941525, 'index': 29, 'word': '##her', 'start': 113, 'end': 116}, {'entity': 'I-LOC', 'score': 0.9945891, 'index': 30, 'word': '-', 'start': 116, 'end': 117}, {'entity': 'I-LOC', 'score': 0.9933821, 'index': 31, 'word': 'Platz', 'start': 117, 'end': 122}, {'entity': 'B-LOC', 'score': 0.98431695, 'index': 35, 'word': 'Breit', 'start': 141, 'end': 146}, {'entity': 'I-LOC', 'score': 0.922258, 'index': 36, 'word': '##schei', 'start': 146, 'end': 151}, {'entity': 'I-LOC', 'score': 0.99126804, 'index': 37, 'word': '##tp', 'start': 151, 'end': 153}, {'entity': 'I-LOC', 'score': 0.9902502, 'index': 38, 'word': '##lat', 'start': 153, 'end': 156}, {'entity': 'I-LOC', 'score': 0.9864374, 'index': 39, 'word': '##z', 'start': 156, 'end': 157}, {'entity': 'B-LOC', 'score': 0.98008335, 'index': 45, 'word': 'Ku', 'start': 182, 'end': 184}, {'entity': 'I-LOC', 'score': 0.9110806, 'index': 46, 'word': '##damm', 'start': 184, 'end': 188}, {'entity': 'B-LOC', 'score': 0.96877766, 'index': 54, 'word': 'Neue', 'start': 212, 'end': 216}, {'entity': 'I-LOC', 'score': 0.96264523, 'index': 55, 'word': 'Kant', 'start': 217, 'end': 221}, {'entity': 'I-LOC', 'score': 0.98685235, 'index': 56, 'word': '##straße', 'start': 221, 'end': 227}, {'entity': 'B-LOC', 'score': 0.98056364, 'index': 62, 'word': 'Breit', 'start': 258, 'end': 263}, {'entity': 'I-LOC', 'score': 0.8582871, 'index': 63, 'word': '##schei', 'start': 263, 'end': 268}, {'entity': 'I-LOC', 'score': 0.98778194, 'index': 64, 'word': '##tp', 'start': 268, 'end': 270}, {'entity': 'I-LOC', 'score': 0.98688275, 'index': 65, 'word': '##lat', 'start': 270, 'end': 273}, {'entity': 'I-LOC', 'score': 0.9781359, 'index': 66, 'word': '##z', 'start': 273, 'end': 274}, {'entity': 'B-DATE', 'score': 0.67060506, 'index': 72, 'word': '17', 'start': 296, 'end': 298}, {'entity': 'I-DATE', 'score': 0.97530955, 'index': 73, 'word': '.', 'start': 298, 'end': 299}, {'entity': 'I-DATE', 'score': 0.97059464, 'index': 74, 'word': 'Juni', 'start': 300, 'end': 304}, {'entity': 'B-LOC', 'score': 0.97933584, 'index': 78, 'word': 'Ku', 'start': 324, 'end': 326}, {'entity': 'I-LOC', 'score': 0.86918193, 'index': 79, 'word': '##damm', 'start': 326, 'end': 330}]"
5,1721,17845,Demotermine1250288610239322021-10-29 13:04:19,23932,2021-10-29 13:05:21,Dr. Gunter Frank : Wie Moralismus dazu führt das man Feinde sieht und vernichten will — Antihygienista - Offene Gesellschaft Kurpfalz 15:04 Raus auf die Straßen   Übersicht / Overview,de,184,Dr. Gunter Frank : How moralism leads to the fact that one sees enemies and wants to destroy - Antihygienista - Offene Gesellschaft Kurpfalz 15:04 Raus auf die Straßen Übersicht / Overview,Dr. Gunter Frank : How moralism leads to the fact that one sees enemies and wants to destroy - Antihygienista - Offene Gesellschaft Kurpfalz 15:04 Raus auf die Straßen Übersicht / Overview,"[{'entity': 'I-PER', 'score': 0.6503558, 'index': 3, 'word': 'Gun', 'start': 4, 'end': 7}, {'entity': 'I-PER', 'score': 0.9621263, 'index': 4, 'word': '##ter', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.97153294, 'index': 5, 'word': 'Frank', 'start': 11, 'end': 16}, {'entity': 'B-ORG', 'score': 0.7223057, 'index': 20, 'word': 'Anti', 'start': 88, 'end': 92}, {'entity': 'I-ORG', 'score': 0.44434896, 'index': 22, 'word': '##gien', 'start': 94, 'end': 98}, {'entity': 'I-ORG', 'score': 0.70884925, 'index': 23, 'word': '##ista', 'start': 98, 'end': 102}, {'entity': 'I-ORG', 'score': 0.52381635, 'index': 24, 'word': '-', 'start': 103, 'end': 104}, {'entity': 'I-ORG', 'score': 0.36835825, 'index': 25, 'word': 'Offen', 'start': 105, 'end': 110}, {'entity': 'I-ORG', 'score': 0.75876665, 'index': 26, 'word': '##e', 'start': 110, 'end': 111}, {'entity': 'I-ORG', 'score': 0.93655145, 'index': 27, 'word': 'Gesellschaft', 'start': 112, 'end': 124}, {'entity': 'B-LOC', 'score': 0.9314283, 'index': 28, 'word': 'Kur', 'start': 125, 'end': 128}, {'entity': 'I-LOC', 'score': 0.5306768, 'index': 29, 'word': '##pfalz', 'start': 128, 'end': 133}, {'entity': 'B-TIME', 'score': 0.9169857, 'index': 30, 'word': '15', 'start': 134, 'end': 136}, {'entity': 'I-TIME', 'score': 0.62194324, 'index': 31, 'word': ':', 'start': 136, 'end': 137}, {'entity': 'I-TIME', 'score': 0.46308935, 'index': 32, 'word': '04', 'start': 137, 'end': 139}]"
6,239,13933,Demotermine125028861093072021-04-20 04:43:41,9307,2021-04-20 04:43:40,"Einfach nur Krank solche Politiker ! Was sollen wir mit ihm machen wenn unsere Kinder anhand dieser Impfung nen schaden erleiden ? Wer ist dann dafür verantwortlich , wen schmeißen wir dann in den Knast und nehmen sein ganzes Geld weg , sollen wir das mit dir machen ? Raus auf die Straße",de,288,"Just sick such politicians ! What should we do with him if our children suffer from this vaccination? Who is responsible for it, who do we throw in jail and take away all his money, shall we do that with you? Out on the street","Solche Politiker sind einfach krank! Was sollen wir mit ihm machen, wenn unsere Kinder unter dieser Impfung leiden? Wer ist dafür verantwortlich, wen werfen wir in den Knast und nehmen ihm sein ganzes Geld weg, sollen wir das mit Ihnen machen? Draußen auf der Straße",[]
7,1168,3741,Demotermine1250288610286092021-11-27 19:55:52,28609,2021-11-27 19:55:49,27.11.2021 Frankfurt Durchsagen von gemischt mit Musik . Super Idee   Für mehr Berichte folgen auf ... Raus auf die Straßen   Übersicht / Overview,de,147,27.11.2021 Frankfurt announcements of mixed with music . Super idea For more reports follow on ... Out on the streets Overview,27.11.2021 Frankfurt Ankündigungen von gemischt mit Musik . Super Idee Für weitere Berichte folgen Sie auf ... Draußen auf der Straße Übersicht,"[{'entity': 'B-DATE', 'score': 0.9773597, 'index': 1, 'word': '27', 'start': 0, 'end': 2}, {'entity': 'I-DATE', 'score': 0.9717311, 'index': 2, 'word': '.', 'start': 2, 'end': 3}, {'entity': 'I-DATE', 'score': 0.9731943, 'index': 3, 'word': '11', 'start': 3, 'end': 5}, {'entity': 'I-DATE', 'score': 0.9409612, 'index': 4, 'word': '.', 'start': 5, 'end': 6}, {'entity': 'I-DATE', 'score': 0.866245, 'index': 5, 'word': '2021', 'start': 6, 'end': 10}, {'entity': 'B-LOC', 'score': 0.97447103, 'index': 6, 'word': 'Frankfurt', 'start': 11, 'end': 20}]"
8,620,9388,Demotermine1250288610158452021-08-29 09:20:46,15845,2021-08-29 09:20:43,  Demo-Berlin : Der Mann mit dem Schild wurde soeben von der Polizei festgenommen . Circa 7 Einsatzwägen sind vor Ort und umzäunen den Park großräumig . Am Humboldthain gibt es nichts mehr zu gewinnen . # b2908 Raus auf die Straßen,de,231,  Demo-Berlin : The man with the sign has just been arrested by the police . About 7 emergency vehicles are on site and fence the park extensively . At the Humboldthain there is nothing more to win . # b2908 Out on the streets,  Demo-Berlin : Der Mann mit dem Schild wurde soeben von der Polizei festgenommen. Etwa 7 Einsatzfahrzeuge sind vor Ort und sperren den Park weiträumig ab . Am Humboldthain gibt es nichts mehr zu gewinnen . # b2908 Draußen auf der Straße,"[{'entity': 'B-LOC', 'score': 0.9864994, 'index': 3, 'word': 'Berlin', 'start': 7, 'end': 13}, {'entity': 'B-LOC', 'score': 0.97945875, 'index': 37, 'word': 'Humboldt', 'start': 156, 'end': 164}, {'entity': 'I-LOC', 'score': 0.9685938, 'index': 38, 'word': '##hain', 'start': 164, 'end': 168}]"
9,721,4445,Demotermine1250288610280952021-11-24 12:20:13,28095,2021-11-24 12:20:10,Anthony Fauci : Definition von „ vollständig geimpft “ könnte geändert werden — Epoch Times Nachrichten 6:59 Raus auf die Straßen   Übersicht / Overview,de,153,"Anthony Fauci : Definition of "" fully vaccinated "" could be changed - Epoch Times News 6:59 Out on the Streets Overview / Overview.","Anthony Fauci : Definition von ""vollständig geimpft"" könnte geändert werden - Epoch Times Nachrichten 6:59 Out on the Streets Übersicht / Overview.","[{'entity': 'B-PER', 'score': 0.9700354, 'index': 1, 'word': 'Anthony', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.97504276, 'index': 2, 'word': 'Fa', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.9666171, 'index': 3, 'word': '##uc', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.943535, 'index': 4, 'word': '##i', 'start': 12, 'end': 13}, {'entity': 'B-ORG', 'score': 0.9679909, 'index': 18, 'word': 'Ep', 'start': 80, 'end': 82}, {'entity': 'I-ORG', 'score': 0.7960735, 'index': 19, 'word': '##och', 'start': 82, 'end': 85}, {'entity': 'I-ORG', 'score': 0.97331065, 'index': 20, 'word': 'Times', 'start': 86, 'end': 91}, {'entity': 'I-ORG', 'score': 0.5785129, 'index': 21, 'word': 'Nachrichten', 'start': 92, 'end': 103}, {'entity': 'B-TIME', 'score': 0.96874636, 'index': 22, 'word': '6', 'start': 104, 'end': 105}, {'entity': 'I-TIME', 'score': 0.6589518, 'index': 23, 'word': ':', 'start': 105, 'end': 106}, {'entity': 'I-TIME', 'score': 0.6316281, 'index': 24, 'word': '59', 'start': 106, 'end': 108}]"
