,Unnamed: 0,id,message_id,date,cleaned_text,detected_entities
0,0,Demotermine12502886104122,4122,2020-11-24 13:22:54,"Corona-Maßnahmen sofort beenden , Existenzen erhalten ! @StuttgartGrundgesetzdemos @Corona_Reset","[{'entity': 'B-LOC', 'score': 0.84232426, 'index': 17, 'word': 'S', 'start': 57, 'end': 58}, {'entity': 'B-LOC', 'score': 0.878931, 'index': 18, 'word': 'tut', 'start': 58, 'end': 61}, {'entity': 'I-LOC', 'score': 0.72811747, 'index': 19, 'word': 't', 'start': 61, 'end': 62}, {'entity': 'I-LOC', 'score': 0.8451522, 'index': 20, 'word': 'gar', 'start': 62, 'end': 65}, {'entity': 'I-LOC', 'score': 0.73268723, 'index': 21, 'word': 't', 'start': 65, 'end': 66}]"
1,1,Demotermine1250288610281102021-11-24 13:06:28,28110,2021-11-24 13:05:10,#Cremona #IT #Sa2711 Raus auf die Straßen @Demotermine! 👉 Übersicht / Overview 👈,"[{'entity': 'B-LOC', 'score': 0.9907594, 'index': 1, 'word': '▁#', 'start': 0, 'end': 1}, {'entity': 'B-LOC', 'score': 0.9828182, 'index': 2, 'word': 'Cre', 'start': 1, 'end': 4}, {'entity': 'B-LOC', 'score': 0.8694906, 'index': 3, 'word': 'mona', 'start': 4, 'end': 8}, {'entity': 'B-LOC', 'score': 0.98730844, 'index': 4, 'word': '▁#', 'start': 9, 'end': 10}, {'entity': 'B-LOC', 'score': 0.93695784, 'index': 5, 'word': 'IT', 'start': 10, 'end': 12}, {'entity': 'B-DATE', 'score': 0.93332475, 'index': 6, 'word': '▁#', 'start': 13, 'end': 14}, {'entity': 'B-DATE', 'score': 0.97101825, 'index': 7, 'word': 'Sa', 'start': 14, 'end': 16}, {'entity': 'I-DATE', 'score': 0.9061101, 'index': 8, 'word': '27', 'start': 16, 'end': 18}, {'entity': 'I-DATE', 'score': 0.929688, 'index': 9, 'word': '11', 'start': 18, 'end': 20}]"
2,2,Demotermine1250288610318072021-12-14 22:32:02,31807,2021-12-14 22:31:13,#Karlsruhe #BW #Mo2012 #Mo2712 #montags Raus auf die Straßen @Demotermine! 👉 Übersicht / Overview 👈,"[{'entity': 'B-ACTION', 'score': 0.7361625, 'index': 2, 'word': 'Kar', 'start': 1, 'end': 4}, {'entity': 'B-ACTION', 'score': 0.5909937, 'index': 3, 'word': 'ls', 'start': 4, 'end': 6}, {'entity': 'B-LOC', 'score': 0.996055, 'index': 6, 'word': '▁#', 'start': 11, 'end': 12}, {'entity': 'B-LOC', 'score': 0.9939194, 'index': 7, 'word': 'B', 'start': 12, 'end': 13}, {'entity': 'I-LOC', 'score': 0.81944543, 'index': 8, 'word': 'W', 'start': 13, 'end': 14}, {'entity': 'B-DATE', 'score': 0.94003475, 'index': 9, 'word': '▁#', 'start': 15, 'end': 16}, {'entity': 'I-DATE', 'score': 0.5371912, 'index': 10, 'word': 'Mo', 'start': 16, 'end': 18}, {'entity': 'I-DATE', 'score': 0.7646633, 'index': 11, 'word': '2012', 'start': 18, 'end': 22}, {'entity': 'B-DATE', 'score': 0.95455724, 'index': 12, 'word': '▁#', 'start': 23, 'end': 24}, {'entity': 'B-DATE', 'score': 0.64636725, 'index': 13, 'word': 'Mo', 'start': 24, 'end': 26}, {'entity': 'I-DATE', 'score': 0.8922704, 'index': 14, 'word': '27', 'start': 26, 'end': 28}, {'entity': 'I-DATE', 'score': 0.9229125, 'index': 15, 'word': '12', 'start': 28, 'end': 30}]"
3,3,Demotermine1250288610126762021-07-22 23:11:13,12676,2021-07-21 00:04:38,Bristol 01082021 Overview https://t.me/Demotermine/12847 Raus auf die Straße @Demotermine!,"[{'entity': 'B-LOC', 'score': 0.9971794, 'index': 1, 'word': '▁Bristol', 'start': 0, 'end': 7}, {'entity': 'B-DATE', 'score': 0.9673354, 'index': 2, 'word': '▁01', 'start': 8, 'end': 10}, {'entity': 'I-DATE', 'score': 0.80224615, 'index': 3, 'word': '08', 'start': 10, 'end': 12}, {'entity': 'I-DATE', 'score': 0.901053, 'index': 4, 'word': '2021', 'start': 12, 'end': 16}]"
4,4,Demotermine1250288610179322021-09-15 04:52:38,17932,2021-09-15 04:51:29,Straßburg @ElsassInfoChat 18092021 Raus auf die Straßen @Demotermine,"[{'entity': 'B-LOC', 'score': 0.99839383, 'index': 1, 'word': '▁Stra', 'start': 0, 'end': 4}, {'entity': 'B-LOC', 'score': 0.70174056, 'index': 2, 'word': 'ß', 'start': 4, 'end': 5}, {'entity': 'I-LOC', 'score': 0.5507359, 'index': 3, 'word': 'burg', 'start': 5, 'end': 9}, {'entity': 'B-DATE', 'score': 0.978837, 'index': 10, 'word': '▁18', 'start': 26, 'end': 28}, {'entity': 'I-DATE', 'score': 0.72716355, 'index': 11, 'word': '09', 'start': 28, 'end': 30}, {'entity': 'I-DATE', 'score': 0.8906845, 'index': 12, 'word': '2021', 'start': 30, 'end': 34}]"
5,5,Demotermine1250288610141182021-08-11 15:42:22,14118,2021-08-11 15:42:21,Stuttgart Dobelstrasse 11.8.2021 Schilderaktion Raus auf die Straße @Demotermine!,"[{'entity': 'B-LOC', 'score': 0.9981779, 'index': 1, 'word': '▁Stuttgart', 'start': 0, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9910252, 'index': 2, 'word': '▁Do', 'start': 10, 'end': 12}, {'entity': 'B-LOC', 'score': 0.84913296, 'index': 3, 'word': 'bel', 'start': 12, 'end': 15}, {'entity': 'I-LOC', 'score': 0.74449015, 'index': 4, 'word': 'stra', 'start': 15, 'end': 19}, {'entity': 'I-LOC', 'score': 0.958969, 'index': 5, 'word': 'sse', 'start': 19, 'end': 22}, {'entity': 'B-DATE', 'score': 0.9719544, 'index': 6, 'word': '▁11', 'start': 23, 'end': 25}, {'entity': 'I-DATE', 'score': 0.8926747, 'index': 7, 'word': '.8.', 'start': 25, 'end': 28}, {'entity': 'I-DATE', 'score': 0.8711642, 'index': 8, 'word': '2021', 'start': 28, 'end': 32}, {'entity': 'B-ACTION', 'score': 0.9693161, 'index': 9, 'word': '▁Schi', 'start': 33, 'end': 37}, {'entity': 'B-ACTION', 'score': 0.9620396, 'index': 10, 'word': 'lder', 'start': 37, 'end': 41}, {'entity': 'B-ACTION', 'score': 0.94592035, 'index': 11, 'word': 'aktion', 'start': 41, 'end': 47}]"
6,6,Demotermine1250288610177022021-09-11 12:21:24,17702,2021-09-11 12:22:27,🇫 🇷 Paris Anspannung steigt 11.9.2021 @FranceResistanceNews Raus auf die Straßen @Demotermine,"[{'entity': 'B-LOC', 'score': 0.9981065, 'index': 5, 'word': '▁Paris', 'start': 4, 'end': 9}, {'entity': 'B-DATE', 'score': 0.977684, 'index': 10, 'word': '▁11', 'start': 28, 'end': 30}, {'entity': 'I-DATE', 'score': 0.927744, 'index': 11, 'word': '.9.', 'start': 30, 'end': 33}, {'entity': 'I-DATE', 'score': 0.92382246, 'index': 12, 'word': '2021', 'start': 33, 'end': 37}, {'entity': 'B-ORG', 'score': 0.52501154, 'index': 14, 'word': 'France', 'start': 39, 'end': 45}]"
7,7,Demotermine1250288610100562021-05-06 02:35:25,10056,2021-05-06 02:32:56,Karlsruhe @BadenWuerttembergInfoChat 06052021 Raus auf die Straße @Demotermine!,"[{'entity': 'B-LOC', 'score': 0.9978148, 'index': 1, 'word': '▁Karlsruhe', 'start': 0, 'end': 9}, {'entity': 'B-LOC', 'score': 0.8626844, 'index': 3, 'word': 'Ba', 'start': 11, 'end': 13}, {'entity': 'I-LOC', 'score': 0.4676138, 'index': 6, 'word': 'uer', 'start': 17, 'end': 20}, {'entity': 'B-DATE', 'score': 0.9743527, 'index': 11, 'word': '▁06', 'start': 37, 'end': 39}, {'entity': 'I-DATE', 'score': 0.7629863, 'index': 12, 'word': '05', 'start': 39, 'end': 41}, {'entity': 'I-DATE', 'score': 0.9054022, 'index': 13, 'word': '2021', 'start': 41, 'end': 45}]"
8,8,Demotermine125028861082052021-03-26 08:49:59,8205,2021-03-26 08:49:22,Linz Hauptplatz @OesterreichChat 26032021 Raus auf die Straße @Demotermine!,"[{'entity': 'B-LOC', 'score': 0.9977915, 'index': 1, 'word': '▁Lin', 'start': 0, 'end': 3}, {'entity': 'I-LOC', 'score': 0.66408443, 'index': 2, 'word': 'z', 'start': 3, 'end': 4}, {'entity': 'B-LOC', 'score': 0.9902913, 'index': 3, 'word': '▁Haupt', 'start': 5, 'end': 10}, {'entity': 'I-LOC', 'score': 0.91240144, 'index': 4, 'word': 'platz', 'start': 10, 'end': 15}, {'entity': 'B-ACTION', 'score': 0.64812285, 'index': 6, 'word': 'O', 'start': 17, 'end': 18}, {'entity': 'B-ACTION', 'score': 0.5103193, 'index': 7, 'word': 'ester', 'start': 18, 'end': 23}, {'entity': 'B-ACTION', 'score': 0.53808886, 'index': 8, 'word': 'reich', 'start': 23, 'end': 28}, {'entity': 'B-DATE', 'score': 0.97751355, 'index': 10, 'word': '▁26', 'start': 33, 'end': 35}, {'entity': 'I-DATE', 'score': 0.789624, 'index': 11, 'word': '03', 'start': 35, 'end': 37}, {'entity': 'I-DATE', 'score': 0.88933074, 'index': 12, 'word': '2021', 'start': 37, 'end': 41}]"
9,9,Demotermine1250288610111632021-05-29 05:28:52,11163,2021-05-29 01:56:30,Memmelsdorf @BayernInfoChat 29052021 Raus auf die Straße @Demotermine!,"[{'entity': 'B-LOC', 'score': 0.9973999, 'index': 1, 'word': '▁Me', 'start': 0, 'end': 2}, {'entity': 'B-LOC', 'score': 0.7266619, 'index': 2, 'word': 'mmel', 'start': 2, 'end': 6}, {'entity': 'I-LOC', 'score': 0.5318583, 'index': 3, 'word': 'sdorf', 'start': 6, 'end': 11}, {'entity': 'B-DATE', 'score': 0.9792239, 'index': 9, 'word': '▁29', 'start': 28, 'end': 30}, {'entity': 'I-DATE', 'score': 0.85692257, 'index': 10, 'word': '05', 'start': 30, 'end': 32}, {'entity': 'I-DATE', 'score': 0.90892977, 'index': 11, 'word': '2021', 'start': 32, 'end': 36}]"
